session_id,x,y,time,event_type,label
_ofdrdqmw2,200,35,568,move,human
_ofdrdqmw2,164,35,629,move,human
_ofdrdqmw2,160,35,686,move,human
_ofdrdqmw2,156,35,927,move,human
_ofdrdqmw2,111,31,980,move,human
_ofdrdqmw2,65,27,1047,move,human
_ofdrdqmw2,53,27,1112,move,human
_ofdrdqmw2,51,27,1187,move,human
,160,35,1729013165470,click,human
_ofdrdqmw2,200,35,568,move,human
_ofdrdqmw2,164,35,629,move,human
_ofdrdqmw2,160,35,686,move,human
_ofdrdqmw2,156,35,927,move,human
_ofdrdqmw2,111,31,980,move,human
_ofdrdqmw2,65,27,1047,move,human
_ofdrdqmw2,53,27,1112,move,human
_ofdrdqmw2,51,27,1187,move,human
,160,35,1729013165470,click,human
_ndtrgd6mh,85,97,56,move,human
_ndtrgd6mh,9,53,123,move,human
_ndtrgd6mh,1,44,275,move,human
_ndtrgd6mh,40,68,339,move,human
_ndtrgd6mh,117,79,406,move,human
_ndtrgd6mh,172,63,472,move,human
_ndtrgd6mh,176,61,591,move,human
_ndtrgd6mh,170,61,903,move,human
_ndtrgd6mh,112,50,955,move,human
_ndtrgd6mh,84,40,1006,move,human
_ndtrgd6mh,62,32,1072,move,human
_ndtrgd6mh,43,23,1142,move,human
_ndtrgd6mh,42,23,1205,move,human
,176,61,1729013264522,click,human
_kqk78z5zj,234,65,58,move,human
_kqk78z5zj,177,49,125,move,human
_kqk78z5zj,170,46,450,move,human
_kqk78z5zj,152,33,508,move,human
_kqk78z5zj,151,33,655,move,human
_kqk78z5zj,145,32,708,move,human
_kqk78z5zj,70,17,775,move,human
_kqk78z5zj,38,13,841,move,human
_kqk78z5zj,35,13,938,move,human
_kqk78z5zj,34,13,1008,move,human
_kqk78z5zj,34,13,1109,move,human
_5j0jvz9dx,106,16,54,move,human
_5j0jvz9dx,95,11,107,move,human
_5j0jvz9dx,91,9,170,move,human
_5j0jvz9dx,86,10,236,move,human
_5j0jvz9dx,76,11,303,move,human
_5j0jvz9dx,66,13,370,move,human
_5j0jvz9dx,58,13,436,move,human
_5j0jvz9dx,56,13,504,move,human